Phase 	Duration 	Avg. Energy	#1/2 cycles	Elapsed time	Lifetime (sl)	lifetime (amp2) 	Energy Change	Coil Energy 	Energy loss	Ratio
15	10	10.863	123	131.269	829.01	844.174	9.716	21.178	1.679	0.538
15	10	15.351	120	125.718	829.01	844.174	12.822	25.905	2.366	0.586
15	10	12.407	120	130.215	829.01	844.174	11.826	22.714	1.901	0.604
15	20	16.489	93	102.136	829.01	844.174	19.343	18.107	1.928	1.175
15	20	20.375	69	77.1239	829.01	844.174	15.895	13.225	1.767	1.336
15	20	22.75	56	62.5328	829.01	844.174	12.627	13.239	1.602	1.075
15	30	18.646	62	74.5317	829.01	844.174	18.636	12.022	1.473	1.673
15	30	15.399	63	74.9104	829.01	844.174	17.276	11.184	1.287	1.66
15	30	17.831	63	72.974	829.01	844.174	17.928	12.301	1.412	1.572
20	30	19.092	80	98.439	829.01	844.174	16.296	13.004	1.985	1.406
20	30	19.647	90	102.169	829.01	844.174	19.865	14.236	2.224	1.552
20	30	19.345	88	97.91	829.01	844.174	18.314	14.834	2.141	1.379
30	10	9.884	120	123.901	829.01	844.174	8.996	15.346	1.518	0.685
30	10	10.783	120	127.544	829.01	844.174	7.337	14.449	1.669	0.623
30	10	11.154	120	128.482	829.01	844.174	9.422	5.857	1.701	1.81
30	20	17.254	121	133.374	829.01	844.174	8.32	12.932	2.624	0.846
30	20	13.96	122	135.112	829.01	844.174	17.141	12.147	2.196	1.592
30	20	13.546	121	130.599	829.01	844.174	12.012	13.515	2.083	1.043
30	30	14.866	122	133.429	829.01	844.174	13.22	11.838	2.281	1.309
30	30	15.489	122	137.606	829.01	844.174	12.828	13.315	2.376	1.142
30	30	16.364	121	133.43	829.01	844.174	11.917	14.788	2.49	0.974
45	10	8.074	121	129.195	1016.7	934.005	3.133	8.589	1.015	0.483
45	10	8.168	124	139.497	1016.7	934.005	7.662	6.22	1.084	1.406
45	10	7.927	121	129.199	1016.7	934.005	1.583	5.66	0.996	0.456
45	20	12.474	120	127.24	1016.7	934.005	4.345	3.016	1.602	1.972
45	20	9.557	120	127.12	1016.7	934.005	2.209	5.888	1.191	0.577
45	20	7.316	120	129.277	1016.7	934.005	4.196	8.668	0.913	0.589
45	30	10.307	129	139.674	1016.7	934.005	4.34	5.77	1.382	0.992
45	30	11.015	120	133.408	1016.7	934.005	3.992	19.787	1.373	0.271
45	30	9.581	120	130.986	1016.7	934.005	7.749	6.548	1.239	1.373
